date,time,amazonID,indivOrGroup,groupSize,room,confirmationID,subjectNumber,round,gameRound,gameType,behaviouralType,choice,num_choice,payoff,didShare,info_share_cost,totalEarning,timeElapsed,latency
2021-11-16,14:57:38,INHOUSETEST3,1,2,hSKekoz_session_0,trmo2ekUMszGCBKUAAAA,1,1,0,1,choice,risky,,187,,200,187,8085,0
2021-11-16,14:57:40,INHOUSETEST3,1,2,hSKekoz_session_0,trmo2ekUMszGCBKUAAAA,1,1,0,1,info-sharing,,2,187,1,200,-13,9756,0
2021-11-16,14:57:41,INHOUSETEST3,1,2,hSKekoz_session_0,Nw3EpNhtzwUcvGnjAAAB,2,1,0,1,choice,sure,,123,,200,123,10862,0
2021-11-16,14:57:42,INHOUSETEST3,1,2,hSKekoz_session_0,Nw3EpNhtzwUcvGnjAAAB,2,1,0,1,info-sharing,,1,123,0,200,123,12564,0
2021-11-16,14:57:43,INHOUSETEST3,1,2,hSKekoz_session_0,Nw3EpNhtzwUcvGnjAAAB,2,2,0,1,choice,risky,,87,,200,210,13259,0
2021-11-16,14:57:44,INHOUSETEST3,1,2,hSKekoz_session_0,Nw3EpNhtzwUcvGnjAAAB,2,2,0,1,info-sharing,,2,87,0,200,87,14517,0
2021-11-16,14:57:46,INHOUSETEST3,1,2,hSKekoz_session_0,trmo2ekUMszGCBKUAAAA,1,2,0,1,choice,sure,,122,,200,109,16429,0
2021-11-16,14:57:48,INHOUSETEST3,1,2,hSKekoz_session_0,trmo2ekUMszGCBKUAAAA,1,2,0,1,info-sharing,,1,122,0,200,122,17708,0
2021-11-16,14:57:49,INHOUSETEST3,1,2,hSKekoz_session_0,Nw3EpNhtzwUcvGnjAAAB,2,3,0,1,choice,sure,,123,,200,333,18879,0
2021-11-16,14:57:50,INHOUSETEST3,1,2,hSKekoz_session_0,Nw3EpNhtzwUcvGnjAAAB,2,3,0,1,info-sharing,,1,123,0,200,123,20206,0
2021-11-16,14:57:51,INHOUSETEST3,1,2,hSKekoz_session_0,trmo2ekUMszGCBKUAAAA,1,3,0,1,choice,risky,,187,,200,296,21426,0
2021-11-16,14:57:52,INHOUSETEST3,1,2,hSKekoz_session_0,trmo2ekUMszGCBKUAAAA,1,3,0,1,info-sharing,,2,187,0,200,187,22589,0
2021-11-16,14:57:53,INHOUSETEST3,1,2,hSKekoz_session_0,trmo2ekUMszGCBKUAAAA,1,4,0,1,choice,risky,,87,,200,383,23396,0
2021-11-16,14:57:54,INHOUSETEST3,1,2,hSKekoz_session_0,trmo2ekUMszGCBKUAAAA,1,4,0,1,info-sharing,,2,87,0,200,87,24492,0
2021-11-16,14:57:56,INHOUSETEST3,1,2,hSKekoz_session_0,Nw3EpNhtzwUcvGnjAAAB,2,4,0,1,choice,sure,,122,,200,455,25830,0
2021-11-16,14:57:57,INHOUSETEST3,1,2,hSKekoz_session_0,Nw3EpNhtzwUcvGnjAAAB,2,4,0,1,info-sharing,,1,122,0,200,122,27212,0
2021-11-16,14:57:58,INHOUSETEST3,1,2,hSKekoz_session_0,Nw3EpNhtzwUcvGnjAAAB,2,5,0,1,choice,risky,,186,,200,641,28602,0
2021-11-16,14:58:0,INHOUSETEST3,1,2,hSKekoz_session_0,Nw3EpNhtzwUcvGnjAAAB,2,5,0,1,info-sharing,,2,186,0,200,NaN,30023,0
2021-11-16,14:58:0,INHOUSETEST3,1,2,hSKekoz_session_0,trmo2ekUMszGCBKUAAAA,1,5,0,1,choice,risky,,87,,200,470,30225,0
2021-11-16,14:58:2,INHOUSETEST3,1,2,hSKekoz_session_0,trmo2ekUMszGCBKUAAAA,1,5,0,1,info-sharing,,2,87,0,200,NaN,31772,0
2021-11-16,15:6:11,INHOUSETEST3,1,2,TwgxbFr_session_1,yaYvfsaf-IrdG79zAAAC,1,1,0,1,choice,sure,,117,,200,117,7667,0
2021-11-16,15:6:14,INHOUSETEST3,1,2,TwgxbFr_session_1,yaYvfsaf-IrdG79zAAAC,1,1,0,1,info-sharing,,1,117,0,200,117,10617,0
2021-11-16,15:6:15,INHOUSETEST3,1,2,TwgxbFr_session_1,ifbGBeb6RLgnicuKAAAD,2,1,0,1,choice,risky,,83,,200,83,11764,0
2021-11-16,15:6:17,INHOUSETEST3,1,2,TwgxbFr_session_1,ifbGBeb6RLgnicuKAAAD,2,1,0,1,info-sharing,,2,83,0,200,83,13837,0
