date,time,amazonID,indivOrGroup,groupSize,room,confirmationID,subjectNumber,round,gameRound,gameType,behaviouralType,choice,num_choice,payoff,didShare,info_share_cost,totalEarning,timeElapsed,latency
2021-11-19,10:13:37,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,1,0,2,choice,risky,,167,,0,167,10606,0
2021-11-19,10:13:42,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,1,0,2,info-sharing,,2,167,1,0,167,15574,0
2021-11-19,10:13:47,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,2,0,2,info-sharing,,2,166,0,0,166,20833,0
2021-11-19,10:13:54,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,3,0,2,choice,risky,,168,,0,501,27563,0
2021-11-19,10:13:46,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,2,0,2,choice,sure,,117,,0,284,20497,0
2021-11-19,10:13:54,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,3,0,2,choice,sure,,118,,0,402,28305,0
2021-11-19,10:13:51,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,2,0,2,info-sharing,,1,117,1,0,117,25292,0
2021-11-19,10:13:37,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,1,0,2,choice,risky,,167,,0,167,10837,0
2021-11-19,10:13:39,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,1,0,2,info-sharing,,2,167,0,0,167,13430,0
2021-11-19,10:13:44,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,2,0,2,choice,risky,,166,,0,333,18358,0
2021-11-19,10:13:56,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,3,0,2,info-sharing,,2,168,0,0,168,29804,0
2021-11-19,10:13:57,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,3,0,2,info-sharing,,1,118,1,0,118,30654,0
2021-11-19,10:13:59,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,4,0,2,choice,sure,,117,,0,519,32622,0
2021-11-19,10:13:59,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,4,0,2,choice,risky,,67,,0,568,33290,0
2021-11-19,10:14:1,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,4,0,2,info-sharing,,1,117,1,0,117,34582,0
2021-11-19,10:14:2,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,4,0,2,info-sharing,,2,67,0,0,67,35711,0
2021-11-19,10:14:4,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,5,0,2,choice,sure,,116,,0,635,38014,0
2021-11-19,10:14:5,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,5,0,2,choice,risky,,65,,0,633,38749,0
2021-11-19,10:14:6,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,5,0,2,info-sharing,,1,116,1,0,116,40071,0
2021-11-19,10:14:7,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,5,0,2,info-sharing,,2,65,0,0,65,41020,0
2021-11-19,10:14:9,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,6,0,2,choice,risky,,67,,0,702,42566,0
2021-11-19,10:14:9,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,6,0,2,choice,risky,,66,,0,699,43360,0
2021-11-19,10:14:11,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,6,0,2,info-sharing,,2,67,1,0,67,45518,0
2021-11-19,10:14:12,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,6,0,2,info-sharing,,2,66,0,0,66,45590,0
2021-11-19,10:14:13,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,7,0,2,choice,risky,,166,,0,865,47460,0
2021-11-19,10:14:13,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,7,0,2,choice,risky,,66,,0,768,47463,0
2021-11-19,10:14:15,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,7,0,2,info-sharing,,2,66,1,0,66,49505,0
2021-11-19,10:14:15,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,7,0,2,info-sharing,,2,166,0,0,166,49519,0
2021-11-19,10:14:17,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,8,0,2,choice,sure,,115,,0,883,50904,0
2021-11-19,10:14:18,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,8,0,2,choice,risky,,168,,0,1033,51584,0
2021-11-19,10:14:19,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,8,0,2,info-sharing,,1,115,1,0,115,53419,0
2021-11-19,10:14:20,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,8,0,2,info-sharing,,2,168,0,0,168,53808,0
2021-11-19,10:14:22,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,9,0,2,choice,sure,,115,,0,998,55540,0
2021-11-19,10:14:22,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,9,0,2,choice,risky,,167,,0,1200,55957,0
2021-11-19,10:14:23,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,9,0,2,info-sharing,,1,115,1,0,115,57369,0
2021-11-19,10:14:24,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,9,0,2,info-sharing,,2,167,0,0,167,58004,0
2021-11-19,10:14:25,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,10,0,2,choice,sure,,117,,0,1115,59231,0
2021-11-19,10:14:26,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,10,0,2,choice,risky,,68,,0,1268,59587,0
2021-11-19,10:14:27,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,10,0,2,info-sharing,,1,117,1,0,117,60835,0
2021-11-19,10:14:27,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,10,0,2,info-sharing,,2,68,0,0,68,61420,0
2021-11-19,10:14:29,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,11,0,2,choice,risky,,67,,0,1335,62920,0
2021-11-19,10:14:31,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,11,0,2,info-sharing,,2,67,0,0,67,65112,0
2021-11-19,10:14:31,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,11,0,2,choice,sure,,117,,0,1232,65192,0
2021-11-19,10:14:33,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,11,0,2,info-sharing,,1,117,1,0,117,67470,0
2021-11-19,10:14:35,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,12,0,2,choice,sure,,117,,0,1349,68991,0
2021-11-19,10:14:35,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,12,0,2,choice,risky,,167,,0,1502,69012,0
2021-11-19,10:14:37,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,12,0,2,info-sharing,,2,167,0,0,167,70901,0
2021-11-19,10:14:37,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,12,0,2,info-sharing,,1,117,1,0,117,71004,0
2021-11-19,10:14:38,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,13,0,2,choice,risky,,166,,0,1668,72406,0
2021-11-19,10:14:39,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,13,0,2,choice,sure,,116,,0,1465,72679,0
2021-11-19,10:14:40,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,13,0,2,info-sharing,,2,166,0,0,166,74267,0
2021-11-19,10:14:41,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,13,0,2,info-sharing,,1,116,1,0,116,74770,0
2021-11-19,10:14:42,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,14,0,2,choice,risky,,166,,0,1834,76032,0
2021-11-19,10:14:42,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,14,0,2,choice,sure,,118,,0,1583,76503,0
2021-11-19,10:14:44,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,14,0,2,info-sharing,,2,166,0,0,166,77935,0
2021-11-19,10:14:44,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,14,0,2,info-sharing,,1,118,1,0,118,78358,0
2021-11-19,10:14:46,615c100bc96ed7f86c2ee521,1,2,OzqYdzk_session_111900,oq_NAzM2iUvyWtZuAAAB,2,15,0,2,choice,risky,,65,,0,1899,79566,0
2021-11-19,10:14:46,5ea043f2618bcf041cb4c245,1,2,OzqYdzk_session_111900,tgNX2-PID9MgGx6WAAAC,3,15,0,2,choice,sure,,117,,0,1700,79952,0
